,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
0,Chalet pareado en venta en Santa Clara,"Capellanía - Retamar, Alhaurín de la Torre",36.6631239,-4.5312592,499000,d,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '245'}",4,3,1,1,1,1,,245,0,0,1
1,Casa o chalet independiente en venta en calle Manzanilla,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6553933,-4.5401422,500000,inProcess,"{'roomNumber': '5', 'bathNumber': '5', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '385'}",5,5,,1,1,,,385,0,1,0
2,Casa o chalet independiente en venta en avenida de la Música,"Capellanía - Retamar, Alhaurín de la Torre",36.66423,-4.5468535,629000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '300'}",5,4,1,1,1,1,,300,0,0,1
3,"Casa o chalet independiente en venta en calle Almáchar, 44 A","Pinos de Alhaurín, Alhaurín de la Torre",36.6513233,-4.5892472,560000,e,"{'roomNumber': '6', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '306'}",6,4,1,1,1,1,,306,0,0,1
4,Casa o chalet independiente en venta en calle Benalmádena,"Pinos de Alhaurín, Alhaurín de la Torre",36.6422315,-4.5915104,470000,b,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",3,3,1,1,1,1,,200,0,0,1
5,Casa o chalet independiente en venta en FINO (EL LAGAR 4ªFASE),"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6529667,-4.5359723,395000,c,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '261'}",4,2,1,1,1,1,,261,0,0,1
6,Casa o chalet independiente en venta en Platero - El Limón,Alhaurín de la Torre,36.6595575,-4.5672889,499000,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '370'}",4,3,1,1,1,1,,370,0,0,1
7,"Casa o chalet independiente en venta en calle Fino, 36","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6547811,-4.539588,287900,unknown,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '0', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '200'}",3,2,1,1,0,,,200,0,0,1
8,Casa rural en venta en Alquería-Torrealquería,Alhaurín de la Torre,36.6744089,-4.6305883,395000,inProcess,"{'roomNumber': '8', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",8,4,1,1,1,1,,200,0,0,1
9,Casa o chalet independiente en venta en Jardines de Alhaurín-Huerta Alta-Fuensanguínea,Alhaurín de la Torre,36.653781,-4.5605897,399000,inProcess,"{'roomNumber': '6', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '309'}",6,4,1,1,1,0,,309,0,0,1
10,Casa o chalet independiente en venta en Las Lomas - Las Torres - Terrazas de Alhaurín,Alhaurín el Grande,36.6298423,-4.6970674,695000,unknown,"{'roomNumber': '4', 'bathNumber': '2', 'hasTerrace': '1', 'constructedArea': '314'}",4,2,,1,,,,314,0,0,1
11,"Chalet pareado en venta en Urb. Taralpe, Pinos de Alhaurín",Alhaurín de la Torre,36.6591172,-4.5850701,422100,d,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'constructedArea': '200'}",3,2,1,,1,1,,200,0,0,1
12,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6554894,-4.5373601,620000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '320'}",5,4,1,1,0,1,,320,0,0,1
13,Casa o chalet independiente en venta en Capellanía - Retamar,Alhaurín de la Torre,36.6651099,-4.5318656,487000,unknown,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '206'}",4,3,1,1,1,1,,206,0,0,1
14,Chalet pareado en venta en Richard Wagner,"Capellanía - Retamar, Alhaurín de la Torre",36.6684488,-4.5493804,575000,d,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '299'}",4,3,1,1,1,1,,299,0,0,1
15,Casa o chalet independiente en venta en Platero - El Limón,Alhaurín de la Torre,36.6567909,-4.5700259,595000,inProcess,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '338'}",5,3,1,1,1,1,,338,0,0,1
16,"Casa o chalet independiente en venta en calle Mayoral, 63","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6594428,-4.5428932,495000,e,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '302'}",3,3,1,1,1,1,,302,0,0,1
17,Casa o chalet independiente en venta en calle Jumilla,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6587074,-4.5409139,859900,e,"{'roomNumber': '7', 'bathNumber': '6', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '459'}",7,6,1,1,,1,,459,0,0,1
