titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
49,3,36.6666382,-4.464575900000002,395000,7,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1,535941.2704960108,140941.27049601078,35.68133430278754
35,4,36.6637191,-4.5038972,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1,486980.5715908408,-153019.42840915918,-23.909285688931124
29,5,36.6568935,-4.5029302000000015,567000,7,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1,790011.0459483415,223011.0459483415,39.33175413550996
114,4,36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0,336931.9928229749,-38968.00717702508,-10.366588767498026
97,4,36.67119,-4.5169,249900,8,2,2,0.0,1.0,1.0,1.0,1.0,150,1,0,0,307761.20830225945,57861.208302259445,23.15374481883131
97,4,36.67119,-4.5169,230900,8,2,2,0.0,1.0,1.0,1.0,1.0,99,1,0,0,266616.9082277715,35716.90822777152,15.468561380585328
1,3,36.65102570000001,-4.493961799999999,795000,2,3,4,1.0,1.0,1.0,1.0,0.0,702,0,1,0,1023829.5901407152,228829.59014071524,28.783596244115124
47,3,36.6704273,-4.5071012,235000,4,3,2,0.0,0.0,1.0,1.0,0.0,149,0,0,1,259337.14901344478,24337.14901344478,10.35623362274246
7,3,36.654335,-4.4902179,690000,7,5,4,1.0,1.0,1.0,1.0,0.0,649,0,0,1,1085846.6135618985,395846.61356189847,57.36907442926065
47,3,36.6594221,-4.4961917,371000,7,3,3,0.0,1.0,1.0,1.0,0.0,152,0,0,1,464261.0792129785,93261.07921297848,25.137757200263742
51,3,36.66953820000001,-4.4631759,395000,3,4,3,1.0,1.0,1.0,1.0,0.0,152,0,0,1,486410.7484524399,91410.7484524399,23.14196163352909
9,0,36.6567909,-4.570025900000001,595000,7,5,3,1.0,1.0,1.0,1.0,0.0,338,0,0,1,570458.3748539686,-24541.62514603138,-4.124642881685946
23,5,36.65266,-4.49263,995000,0,4,4,1.0,1.0,1.0,1.0,0.0,265,0,0,1,758848.1603803039,-236151.83961969614,-23.733853228110167
20,5,36.6523064,-4.4911891,625000,3,4,3,1.0,1.0,1.0,0.0,0.0,298,0,0,1,741133.1378567666,116133.13785676658,18.581302057082652
