,id
0,98960708
1,99113720
2,98242505
3,100104816
4,99840698
5,99397765
6,95637950
7,99513964
8,100056037
9,99954688
10,99140536
11,98607664
12,99751374
13,99464550
14,98958806
15,96318991
16,99555039
17,97868978
18,98436945
19,98317879
20,98642151
21,84963838
22,99727989
23,99557749
24,99463050
25,99373251
26,99026401
27,99498633
28,96900883
29,99482655
30,98355726
31,98133651
32,98119580
33,97921053
34,97484489
35,100091924
36,96958336
37,98555620
38,97276024
39,97225431
40,99583908
41,99423579
42,99579394
43,99625344
44,98640030
45,98119228
46,97954702
47,100133760
48,100051851
49,97725780
50,88634152
51,100004992
52,100084556
53,99474712
54,99474839
55,98076552
56,95994773
57,93575112
58,100004805
59,97628276
60,97627944
61,97527823
62,96848845
63,100085428
64,97434711
65,99743791
66,98944697
67,98954658
68,98796726
69,98351637
70,98344896
71,98083512
72,97772731
73,97073693
74,96842886
75,96799160
76,95413819
77,91921592
78,99616080
79,94877959
80,94848307
81,94848230
82,93251048
83,99452430
84,99076021
85,99712242
86,30624153
87,99562455
88,98147503
89,99073671
90,99073651
91,99319796
92,99844436
93,99897803
94,84525854
95,100128570
96,100088641
97,100081242
98,99908631
99,98035227
100,91743652
101,97021846
102,96974191
103,96891102
104,95683810
105,95292428
106,91773542
107,91041198
108,90583996
109,99927715
110,99609994
111,99461352
112,97487275
113,90154244
114,96916395
115,98925828
116,98884267
117,98811537
118,98648952
119,98474676
120,98439445
121,98080959
122,97560500
123,97346245
124,99611196
125,99580222
126,99514343
127,99425066
128,99390743
129,96810889
130,93129989
131,98793722
132,95722024
133,99844285
134,99691523
135,99572718
136,99477352
137,97730999
138,95776130
139,92437668
140,97568680
141,99315945
142,98897716
143,98857202
144,98494365
145,93128485
146,97614731
147,97405186
148,96523845
149,95834113
150,95517819
151,92570262
152,99957255
153,98441934
154,99907186
155,99811596
156,97988682
157,99805163
158,99758468
159,98456115
160,86762553
161,97181879
162,99969567
163,99957595
164,98080090
165,99749404
166,99611868
167,99276418
168,99276491
169,98026680
170,97975039
171,98477212
172,98281877
173,98009723
174,96040276
175,81246662
176,99565108
177,86971687
178,92630231
179,96768218
180,92629583
181,96678853
182,99260375
183,98095860
184,99794089
185,99859000
186,99808262
187,99604348
188,99251399
189,99147825
190,99019715
191,99018574
192,98923230
193,97973785
194,98465222
195,98299314
196,98096487
197,97036399
198,90768928
199,39996862
200,99948002
201,99948066
202,99948015
203,99936975
204,99439657
205,97002225
206,99898682
207,98806209
208,99725423
209,96847585
210,99759153
211,97488902
212,99895521
213,99858033
214,99844099
215,99799679
216,99799561
217,99591742
218,99418479
219,99300486
220,97325536
221,96433279
222,95892722
223,99820221
224,99268956
225,98983894
226,98390776
227,98140463
228,98139974
229,99805156
230,98586867
231,95726194
232,97848864
233,100037874
234,99919440
235,99380536
236,98009733
237,96287843
238,96003809
239,99986249
240,99488991
241,98078655
242,91857472
243,90757774
244,88878438
245,88878431
246,99976890
247,99877956
248,98742608
249,99996337
250,99208735
251,99299876
252,98746923
253,99901897
254,99606490
255,99485344
256,99195283
257,30056397
258,98561546
259,1958814
260,98251004
261,97739644
262,94316518
263,83831514
264,2075259
265,99783467
266,99359378
267,98242881
268,88524767
269,81943035
270,98368048
271,98349383
272,99848642
273,99518121
274,89917528
275,92061605
276,96527061
277,35953446
278,99819059
279,99816608
280,99351828
281,98372153
282,98623107
283,99075846
284,98355581
285,96963961
286,96160177
287,94718204
288,94472749
289,94397869
290,92916189
291,92160214
292,98701998
293,96498460
294,99035482
295,97709224
296,97351181
297,379295
298,100004425
299,99146319
300,96891721
301,95514571
302,99848637
303,97176324
304,30516303
305,88620182
306,98599458
307,92733126
308,1795515
309,99518088
310,97952713
311,95929096
312,93695998
313,90592117
314,99112389
315,96337002
316,100028544
317,100034862
318,97820142
319,83699758
320,312369
321,27836100
322,28759578
323,26031591
324,93539953
325,87951414
326,87289580
327,99277079
328,98572920
329,98146399
330,95588929
331,98924094
332,100145699
333,94494904
334,99265312
335,100134305
336,95992759
337,100141795
338,94614415
339,100145546
340,97821174
341,100146959
342,100140137
343,99592743
344,100133498
345,100108028
346,100134309
347,100138281
348,100145050
349,97983240
350,100122731
351,100121934
352,100109943
353,100107293
354,98370896
355,97657147
356,99146185
357,98843215
358,98691689
359,97680253
360,97679779
361,96579839
362,96187022
363,96187020
364,96187018
365,96187026
366,95951460
367,91387380
368,100086401
369,99145474
370,99115268
371,98934327
372,98934243
373,97739361
374,96431342
375,95570064
376,95123801
377,94877948
378,94877907
379,94877864
380,94877829
381,94615893
382,93568417
383,99903120
384,99087878
385,99087862
386,99087888
387,99087871
388,99087870
389,99087877
390,99087829
391,99087871
392,99087870
393,97826782
394,99857901
395,93608581
396,98347650
397,97878129
398,98582769
399,98663746
400,97000815
401,97000807
402,96661924
403,96163143
404,96162717
405,96006513
406,95992227
407,95517076
408,100038492
409,99975493
410,99975656
411,99975432
412,99975646
413,99975585
414,99975431
415,99975490
416,99916170
417,98664084
418,99526447
419,100128233
420,100119915
421,100116418
422,100109564
423,100109290
424,100108772
425,100108424
426,100108261
427,100107946
428,100107816
429,100107651
430,100106965
431,100027276
432,99610330
433,95490093
434,99983688
435,93676693
436,100105494
437,99678993
438,98995316
439,98973485
440,98284563
441,98284564
442,98284512
443,98284551
444,97540897
445,97540895
446,96282825
447,92599401
448,100047517
449,98578118
450,100078518
451,98822036
452,98820359
453,97560963
454,97532748
455,97532234
456,99818327
457,99818326
458,99818275
459,99818268
460,99818308
461,99818274
462,99818273
463,99818307
464,99784676
465,100127613
466,100121829
467,100099885
468,98964849
469,98618490
470,97200867
471,93742966
472,99992262
473,99022621
474,98996949
475,99905494
476,99854221
477,99741175
478,99783513
479,99404616
480,99378810
481,99356004
482,99241595
483,99276704
484,96802628
485,99287530
486,98501213
487,90420398
488,97848644
489,97273282
490,32332761
491,100091361
492,99571271
493,99560213
494,98917576
495,99255500
496,97971226
497,95517199
498,100027157
499,99886636
500,99813394
501,99802784
502,99725374
503,99439611
504,99245559
505,98066685
506,99982862
507,99870314
508,98990493
509,95279233
510,85506668
511,98604626
512,94579964
513,93572003
514,36138480
515,98015756
516,99527822
517,97755816
518,97716904
519,97526404
520,96827380
521,100099168
