,titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
0,Chalet adosado en venta en Guadalmar,"Churriana, Málaga",36.6666382,-4.464575900000002,395000,inProcess,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1
1,Casa o chalet independiente en venta en calle Poseidón,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6637191,-4.5038972,640000,inProcess,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1
2,Casa o chalet independiente en venta en calle Dolores Medio,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6568935,-4.5029302000000015,567000,inProcess,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1
3,"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,375900,unknown,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0
4,"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,249900,unknown,2,2,0.0,1.0,1.0,1.0,1.0,150,1,0,0
5,"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,230900,unknown,2,2,0.0,1.0,1.0,1.0,1.0,99,1,0,0
6,Casa o chalet en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.65102570000001,-4.493961799999999,795000,c,3,4,1.0,1.0,1.0,1.0,0.0,702,0,1,0
7,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6704273,-4.5071012,235000,e,3,2,0.0,0.0,1.0,1.0,0.0,149,0,0,1
8,Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.654335,-4.4902179,690000,inProcess,5,4,1.0,1.0,1.0,1.0,0.0,649,0,0,1
9,Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6594221,-4.4961917,371000,inProcess,3,3,0.0,1.0,1.0,1.0,0.0,152,0,0,1
10,"Chalet adosado en venta en Urb. PRIVADA CON PISCINA, Guadalmar","Churriana, Málaga",36.66953820000001,-4.4631759,395000,d,4,3,1.0,1.0,1.0,1.0,0.0,152,0,0,1
11,Casa o chalet independiente en venta en Platero - El Limón,Alhaurín de la Torre,36.6567909,-4.570025900000001,595000,inProcess,5,3,1.0,1.0,1.0,1.0,0.0,338,0,0,1
12,"Casa o chalet independiente en venta en avenida Ricardo Gross, 5","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.65266,-4.49263,995000,a,4,4,1.0,1.0,1.0,1.0,0.0,265,0,0,1
13,"Casa o chalet independiente en venta en avenida María de Orueta, 25","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6523064,-4.4911891,625000,d,4,3,1.0,1.0,1.0,0.0,0.0,298,0,0,1
14,Dúplex en venta en calle Periodista Juan Antonio Rando,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.66271939999999,-4.5008034000000015,450000,g,7,3,1.0,1.0,1.0,1.0,1.0,133,0,0,1
15,"Chalet adosado en venta en calle Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712556,-4.5088488,256500,d,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1
16,"Casa o chalet en venta en carretera Coín, 108","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6617978,-4.5131005,422500,unknown,5,3,0.0,0.0,0.0,1.0,0.0,257,0,0,1
18,"Chalet adosado en venta en C. Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712556,-4.5088488,256500,e,4,2,0.0,1.0,0.0,0.0,0.0,153,0,1,0
19,"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,e,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1
20,"Piso en venta en avenida SAN JAVIER, 65","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6633251,-4.4984817,235000,e,3,2,1.0,1.0,1.0,1.0,1.0,102,0,0,1
21,"Piso en venta en C/HESPERIDES, 17","Guadalmar, Málaga",36.663755,-4.461028099999999,262181,e,2,1,0.0,0.0,0.0,0.0,1.0,103,0,0,1
22,Casa o chalet independiente en venta en calle Dolores Medio,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6575706,-4.5026624,567000,inProcess,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1
23,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,273100,c,3,2,0.0,1.0,1.0,1.0,1.0,101,1,0,0
24,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,246300,c,2,2,0.0,1.0,1.0,1.0,1.0,83,1,0,0
25,"Chalet adosado en venta en calle Diario Malagueño, 1","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6686969,-4.511935299999998,320000,unknown,4,2,0.0,1.0,1.0,1.0,0.0,160,0,0,1
26,Chalet adosado en venta en calle Torremolinos s/n,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6645609,-4.5046184999999985,275730,d,3,2,1.0,1.0,0.0,0.0,0.0,115,0,0,1
27,Chalet pareado en venta en CL CAMPILLOS 2 29120 ALHAURIN EL GRANDE s/n,"Centro, Alhaurín el Grande",36.6412735,-4.6863278,135000,inProcess,3,1,0.0,1.0,0.0,0.0,0.0,80,0,0,1
29,"Casa o chalet independiente en venta en avenida Marquesa Casa Loring, 25","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6513777,-4.492635099999998,795000,d,5,5,1.0,1.0,1.0,1.0,0.0,407,0,0,1
31,"Piso en venta en avenida Avenida de Velázquez, 56","La Luz, Málaga",36.6967119,-4.4499633,436700,c,4,2,0.0,1.0,1.0,1.0,1.0,151,1,0,0
32,Piso en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6595179,-4.5050633,291800,inProcess,3,2,1.0,1.0,1.0,1.0,1.0,118,0,0,1
