,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
0,36.6666382,-4.4645759,395000,7,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1
1,36.6637191,-4.5038972,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1
2,36.6568935,-4.5029302,567000,7,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1
3,36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0
4,36.67119,-4.5169,249900,8,2,2,0.0,1.0,1.0,1.0,1.0,150,1,0,0
5,36.67119,-4.5169,230900,8,2,2,0.0,1.0,1.0,1.0,1.0,99,1,0,0
6,36.6510257,-4.4939618,795000,2,3,4,1.0,1.0,1.0,1.0,0.0,702,0,1,0
7,36.6704273,-4.5071012,235000,4,3,2,0.0,0.0,1.0,1.0,0.0,149,0,0,1
8,36.654335,-4.4902179,690000,7,5,4,1.0,1.0,1.0,1.0,0.0,649,0,0,1
9,36.6594221,-4.4961917,371000,7,3,3,0.0,1.0,1.0,1.0,0.0,152,0,0,1
10,36.6695382,-4.4631759,395000,3,4,3,1.0,1.0,1.0,1.0,0.0,152,0,0,1
11,36.6567909,-4.5700259,595000,7,5,3,1.0,1.0,1.0,1.0,0.0,338,0,0,1
12,36.65266,-4.49263,995000,0,4,4,1.0,1.0,1.0,1.0,0.0,265,0,0,1
13,36.6523064,-4.4911891,625000,3,4,3,1.0,1.0,1.0,0.0,0.0,298,0,0,1
14,36.6627194,-4.5008034,450000,6,7,3,1.0,1.0,1.0,1.0,1.0,133,0,0,1
15,36.6712556,-4.5088488,256500,3,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1
16,36.6617978,-4.5131005,422500,8,5,3,0.0,0.0,0.0,1.0,0.0,257,0,0,1
17,36.6522271,-4.4896939,1399000,4,8,6,1.0,1.0,1.0,1.0,0.0,290,0,0,1
18,36.6712556,-4.5088488,256500,4,4,2,0.0,1.0,0.0,0.0,0.0,153,0,1,0
19,36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1
