titulo,localizacion,latitude,longitude,price,energy_certification,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition,Price_predict,Var_Prices,%_rentabilidad
Chalet adosado en venta en Guadalmar,"Churriana, Málaga",36.6666382,-4.4645759,395000,7,4,3,1.0,1.0,1.0,1.0,0.0,194,0,0,1,448825.9595635682,53825.95956356824,13.62682520596664
Casa o chalet independiente en venta en calle Poseidón,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6637191,-4.5038972,640000,7,4,2,1.0,1.0,1.0,1.0,0.0,310,0,0,1,531123.6571035832,-108876.34289641678,-17.011928577565122
Casa o chalet independiente en venta en calle Dolores Medio,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6568935,-4.5029302,567000,7,5,4,1.0,1.0,0.0,1.0,0.0,410,0,0,1,674218.857272327,107218.85727232696,18.909851370780768
"Ático en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,375900,8,4,2,1.0,1.0,1.0,1.0,1.0,236,1,0,0,459480.0517167002,83580.0517167002,22.23465062960899
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,249900,8,2,2,0.0,1.0,1.0,1.0,1.0,150,1,0,0,279784.39700719714,29884.39700719714,11.958542219766764
"Piso en venta en calle Bangladesh, 25","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.67119,-4.5169,230900,8,2,2,0.0,1.0,1.0,1.0,1.0,99,1,0,0,225029.75942489505,-5870.240575104952,-2.542330262063643
Casa o chalet en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.6510257,-4.4939618,795000,2,3,4,1.0,1.0,1.0,1.0,0.0,702,0,1,0,928468.0726838856,133468.0726838857,16.788436815583104
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6704273,-4.5071012,235000,4,3,2,0.0,0.0,1.0,1.0,0.0,149,0,0,1,254917.4427279085,19917.44272790849,8.475507543790847
Casa o chalet independiente en venta en Cortijo de Maza-Finca Monsalvez-El Olivar,"Churriana, Málaga",36.654335,-4.4902179,690000,7,5,4,1.0,1.0,1.0,1.0,0.0,649,0,0,1,976935.5092224628,286935.5092224628,41.58485640905258
Chalet adosado en venta en Churriana-El Pizarrillo-La Noria-Guadalsol,"Churriana, Málaga",36.6594221,-4.4961917,371000,7,3,3,0.0,1.0,1.0,1.0,0.0,152,0,0,1,327843.35538057983,-43156.64461942017,-11.632518765342365
"Chalet adosado en venta en Urb. PRIVADA CON PISCINA, Guadalmar","Churriana, Málaga",36.6695382,-4.4631759,395000,3,4,3,1.0,1.0,1.0,1.0,0.0,152,0,0,1,404625.603695631,9625.603695631027,2.4368616950964626
Casa o chalet independiente en venta en Platero - El Limón,Alhaurín de la Torre,36.6567909,-4.5700259,595000,7,5,3,1.0,1.0,1.0,1.0,0.0,338,0,0,1,556189.6200694442,-38810.37993055582,-6.522752929505179
"Casa o chalet independiente en venta en avenida Ricardo Gross, 5","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.65266,-4.49263,995000,0,4,4,1.0,1.0,1.0,1.0,0.0,265,0,0,1,548807.4227373749,-446192.5772626251,-44.84347510177137
"Casa o chalet independiente en venta en avenida María de Orueta, 25","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6523064,-4.4911891,625000,3,4,3,1.0,1.0,1.0,0.0,0.0,298,0,0,1,588191.8467212468,-36808.15327875316,-5.889304524600506
Dúplex en venta en calle Periodista Juan Antonio Rando,"Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6627194,-4.5008034,450000,6,7,3,1.0,1.0,1.0,1.0,1.0,133,0,0,1,436267.6484885216,-13732.351511478424,-3.0516336692174275
"Chalet adosado en venta en calle Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712556,-4.5088488,256500,3,3,1,0.0,1.0,0.0,0.0,0.0,179,0,0,1,290896.8762907535,34396.876290753484,13.41008822251598
"Casa o chalet en venta en carretera Coín, 108","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6617978,-4.5131005,422500,8,5,3,0.0,0.0,0.0,1.0,0.0,257,0,0,1,410715.13377919793,-11784.866220802069,-2.7893174487105488
"Chalet adosado en venta en C. Josefa Morales, 39","Churriana-El Pizarrillo-La Noria-Guadalsol, Málaga",36.6712556,-4.5088488,256500,4,4,2,0.0,1.0,0.0,0.0,0.0,153,0,1,0,237674.7495041341,-18825.25049586594,-7.3392789457567025
"Piso en venta en calle Mercedes Formica, 12","Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga",36.6598242,-4.5041845,291800,4,3,2,1.0,1.0,1.0,1.0,1.0,116,0,0,1,307018.38570445776,15218.38570445776,5.21534808240499
