Modelo,Detalles,R2 train,R2 test,MAE train,MAE test
Regresión Lineal,Sin procesar,0.8208657353590869,0.3509686131106119,117299.42409736218,166259.56796653217
Regresión Lineal,Sin procesar/Sin Outliers,0.7967101974850257,0.6851870288944067,63028.84661920895,64612.9600259574
Regresión Lineal,Datos Escalados,0.7923902659775486,0.7572449252525648,119555.60787083523,135413.00570824687
Regresión Lineal,Datos Escalados/Sin Outliers,0.7757345893427624,0.8246607415274458,68261.29819071932,50005.57812852884
Regresión Polinómica,Sin procesar/Grado 3/Sin Outliers,0.8507326886394154,-0.42855700369277683,58013.970588235294,144989.76470588235
Árbol de regresión,Sin procesar,0.6274076862131133,0.04405626821700892,128795.07419970444,114150.30083552054
Árbol de regresión,Sin Procesar/Sin Outliers,0.7637994803792515,0.04405626821700892,61672.457249245854,71453.59492835596
Árbol de regresión,Datos Escalados,0.6515312617047662,0.04405626821700892,112172.82880029034,177419.62193242274
Árbol de regresión,Datos Escalados/Sin Outliers,0.8022678966822157,0.04405626821700892,53913.79573489171,73695.65792660025
ANN,Datos Escalados,-0.7919969919339869,-1.5752586576983378,476033.47199080297,508835.42744887504
